år,uke,attributt,verdi
2001,26,Uke_omsatt,16589.8
2001,27,Laks_omsatt,3995.6410136324453
2001,27,Uke_omsatt,18447.58
2001,28,Laks_omsatt,3995.6410136324453
2001,28,Uke_omsatt,20699.58
2001,29,Laks_omsatt,3995.6410136324453
2001,29,Uke_omsatt,20212.53
2001,30,Laks_omsatt,3995.6410136324453
2001,30,Uke_omsatt,21555
2001,31,Laks_omsatt,3995.6410136324453
2001,31,Uke_omsatt,22464.07
2001,32,Laks_omsatt,3995.6410136324453
2001,32,Uke_omsatt,20981.89
2001,33,Laks_omsatt,3995.6410136324453
2001,33,Uke_omsatt,19696.72
2001,34,Laks_omsatt,3995.6410136324453
2001,34,Uke_omsatt,23350.42
2001,35,Laks_omsatt,3995.6410136324453
2001,35,Uke_omsatt,20078.96
2001,36,Laks_omsatt,3995.6410136324453
2001,36,Uke_omsatt,20050.76
2001,37,Laks_omsatt,3995.6410136324453
2001,37,Uke_omsatt,23605.25
2001,38,Laks_omsatt,3995.6410136324453
2001,38,Uke_omsatt,21044.52
2001,39,Laks_omsatt,3995.6410136324453
2001,39,Uke_omsatt,21398.81
2001,40,Laks_omsatt,3995.6410136324453
2001,40,Uke_omsatt,15216.46
2001,41,Laks_omsatt,3995.6410136324453
2001,41,Uke_omsatt,17618.18
2001,42,Laks_omsatt,3995.6410136324453
2001,42,Uke_omsatt,15176.7
2001,43,Laks_omsatt,3995.6410136324453
2001,43,Uke_omsatt,13356.71
2001,44,Laks_omsatt,3995.6410136324453
2001,44,Uke_omsatt,13870.64
2001,45,Laks_omsatt,3995.6410136324453
2001,45,Uke_omsatt,13058.97
2001,46,Laks_omsatt,3995.6410136324453
2001,46,Uke_omsatt,11748.69
2001,47,Laks_omsatt,3995.6410136324453
2001,47,Uke_omsatt,10918
2001,48,Laks_omsatt,3995.6410136324453
2001,48,Uke_omsatt,12046.3
2001,49,Laks_omsatt,3995.6410136324453
2001,49,Uke_omsatt,10582.71
2001,50,Laks_omsatt,3995.6410136324453
2001,50,Uke_omsatt,11642.06
2001,51,Laks_omsatt,3995.6410136324453
2001,51,Uke_omsatt,14659.2
2001,52,Laks_omsatt,3995.6410136324453
2001,52,Uke_omsatt,6001.88
2002,1,Laks_omsatt,3995.6410136324453
2002,1,Uke_omsatt,4505.63
2002,1,Ørret_omsatt,568.3520079458026
2002,2,Laks_omsatt,8275.1590089242527
2002,2,Uke_omsatt,9331.37
2002,2,Ørret_omsatt,1177.0835324660975
2002,3,Laks_omsatt,6749.8711636690077
2002,3,Uke_omsatt,7611.4
2002,3,Ørret_omsatt,960.12199698570032
2002,4,Laks_omsatt,6581.7761904612589
2002,4,Uke_omsatt,7421.85
2002,4,Ørret_omsatt,936.21166189246662
2002,5,Laks_omsatt,7289.4777722093286
2002,5,Uke_omsatt,8167.52
2002,5,Ørret_omsatt,1036.0082363800802
2002,6,Laks_omsatt,5708.4021458559564
2002,6,Uke_omsatt,6237
2002,6,Ørret_omsatt,808.57903689038221
2002,7,Laks_omsatt,5934.4684165031294
2002,7,Uke_omsatt,6484
2002,7,Ørret_omsatt,840.6006854573094
2002,8,Laks_omsatt,5078.446059120155
2002,8,Uke_omsatt,5548.71
2002,8,Ørret_omsatt,719.34753692224353
2002,9,Laks_omsatt,7653.7847634179871
2002,9,Uke_omsatt,8477.67
2002,9,Ørret_omsatt,1063.7473662531993
2002,10,Laks_omsatt,6586.1079009398482
2002,10,Uke_omsatt,7726.43
2002,10,Ørret_omsatt,845.98813524336128
2002,11,Laks_omsatt,6491.967430298193
2002,11,Uke_omsatt,7615.99
2002,11,Ørret_omsatt,833.89575497766589
2002,12,Laks_omsatt,8207.8232703327067
2002,12,Uke_omsatt,9628.93
2002,12,Ørret_omsatt,1054.2981085816941
2002,13,Laks_omsatt,5031.630853932118
2002,13,Uke_omsatt,5902.81
2002,13,Ørret_omsatt,646.31495070761844
2002,14,Laks_omsatt,5129.9784788020906
2002,14,Uke_omsatt,5483
2002,14,Ørret_omsatt,752.33492963532035
2002,15,Laks_omsatt,9356.1526149956044
2002,15,Uke_omsatt,10000
2002,15,Ørret_omsatt,1372.1227970733546
2002,16,Laks_omsatt,9453.9150536696943
2002,16,Uke_omsatt,10104.49
2002,16,Ørret_omsatt,1386.460108179974
2002,17,Laks_omsatt,9792.16803915963
2002,17,Uke_omsatt,10466.02
2002,17,Ørret_omsatt,1436.066463662567
2002,18,Laks_omsatt,10173.677413748885
2002,18,Uke_omsatt,11506.07
2002,18,Ørret_omsatt,1534.7657759738775
2002,19,Laks_omsatt,8959.8515966700488
2002,19,Uke_omsatt,10741.17
2002,19,Ørret_omsatt,1376.9050705207026
2002,20,Laks_omsatt,11189.12682414236
2002,20,Uke_omsatt,13413.65
2002,20,Ørret_omsatt,1719.4889103505502
2002,21,Laks_omsatt,10896.703784964258
2002,21,Uke_omsatt,13063.09
2002,21,Ørret_omsatt,1674.5508038387143
2002,22,Laks_omsatt,10817.174995155838
2002,22,Uke_omsatt,12967.75
2002,22,Ørret_omsatt,1662.3292181619729
2002,23,Laks_omsatt,11416.012334104225
2002,23,Uke_omsatt,12982.23
2002,23,Ørret_omsatt,1627.4641314858452
